title,rating,year,genres,link
哈利·波特与死亡圣器(下),9.0,2011,"奇幻, 冒险",https://movie.douban.com/subject/3011235/
音乐之声,9.1,1965,"剧情, 传记, 爱情, 歌舞",https://movie.douban.com/subject/1294408/
西西里的美丽传说,8.9,2000,"剧情, 战争, 情色",https://movie.douban.com/subject/1292402/
功夫,8.9,2004,"动作, 喜剧, 犯罪, 奇幻",https://movie.douban.com/subject/1291543/
阿凡达,8.8,2009,"动作, 科幻, 冒险",https://movie.douban.com/subject/1652587/
哈利·波特与阿兹卡班的囚徒,9.0,2004,"奇幻, 冒险",https://movie.douban.com/subject/1291544/
看不见的客人,8.8,2016,"剧情, 犯罪, 悬疑, 惊悚",https://movie.douban.com/subject/26580232/
拯救大兵瑞恩,9.1,1998,"剧情, 战争",https://movie.douban.com/subject/1292849/
沉默的羔羊,8.9,1991,"剧情, 犯罪, 惊悚",https://movie.douban.com/subject/1293544/
小鞋子,9.2,1997,"剧情, 儿童, 家庭",https://movie.douban.com/subject/1303021/
飞越疯人院,9.1,1975,剧情,https://movie.douban.com/subject/1292224/
布达佩斯大饭店,8.9,2014,"剧情, 喜剧, 冒险",https://movie.douban.com/subject/11525673/
蝴蝶效应,8.9,2004,"剧情, 悬疑, 科幻, 惊悚",https://movie.douban.com/subject/1292343/
禁闭岛,8.9,2010,"剧情, 悬疑, 惊悚",https://movie.douban.com/subject/2334904/
致命魔术,8.9,2006,"剧情, 悬疑, 惊悚",https://movie.douban.com/subject/1780330/
心灵捕手,9.0,1997,剧情,https://movie.douban.com/subject/1292656/
低俗小说,8.9,1994,"剧情, 喜剧, 犯罪",https://movie.douban.com/subject/1291832/
超脱,9.0,2011,剧情,https://movie.douban.com/subject/5322596/
哈利·波特与密室,8.9,2002,"奇幻, 冒险",https://movie.douban.com/subject/1296996/
摩登时代,9.3,1936,"剧情, 喜剧, 爱情",https://movie.douban.com/subject/1294371/
喜剧之王,8.8,1999,"喜剧, 剧情, 爱情",https://movie.douban.com/subject/1302425/
杀人回忆,8.9,2003,"剧情, 动作, 犯罪, 悬疑, 惊悚",https://movie.douban.com/subject/1300299/
致命ID,8.9,2003,"剧情, 悬疑, 惊悚",https://movie.douban.com/subject/1297192/
春光乍泄,9.0,1997,"剧情, 爱情, 同性",https://movie.douban.com/subject/1292679/
一一,9.1,2000,"剧情, 爱情, 家庭",https://movie.douban.com/subject/1292434/
海豚湾,9.3,2009,纪录片,https://movie.douban.com/subject/3442220/
美国往事,9.1,1984,"犯罪, 剧情",https://movie.douban.com/subject/1292262/
加勒比海盗,8.8,2003,"动作, 冒险, 奇幻",https://movie.douban.com/subject/1298070/
红辣椒,9.0,2006,"动画, 悬疑, 科幻, 惊悚",https://movie.douban.com/subject/1865703/
七宗罪,8.8,1995,"剧情, 犯罪, 悬疑, 惊悚",https://movie.douban.com/subject/1292223/
唐伯虎点秋香,8.7,1993,"喜剧, 爱情, 古装",https://movie.douban.com/subject/1306249/
还有明天,9.4,2023,"剧情, 喜剧, 历史",https://movie.douban.com/subject/36445098/
